URN,URN-commentedOn,Author,Date,Text,Translation,Notes
urn:cite:dc3:harpocration.191.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἄνθεια,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἄνθεια: ὅτι μὲν ἑταίρα δῆλον· μήποτε δὲ Ἄντεια γραπτέον διὰ τοῦ τ, ἐπεὶ οὕτως εὕρομεν παρὰ <person TLG=""0540"">Λυσίᾳ</person>.","Antheia: that she is a prostitute is clear. But perhaps it should be written 'Anteia' with tau, since we find it thus in Lysias.",""
urn:cite:dc3:harpocration.192.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀνθεμόκριτος,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀνθεμόκριτος: <person TLG=""0017"">Ἰσαῖος</person> ἐν τῷ <work TLG=""0017.000"">πρὸς Καλυδῶνα</work> ""τό τε βαλανεῖον τὸ παρ' Ἀνθεμοκρίτου ἀνδριάντα,"" τουτέστι πρὸς ταῖς Θριασίαις πύλαις. οὗτος ἦν Ἀθηναίων μὲν κῆρυξ, ὑπὸ Μεγαρέων δ' ἀπεσφάγη ἀπαγορεύων αὐτοῖς τὴν ἱερὰν ταῖν θεαῖν ὀργάδα μὴ ἐπεργάζεσθαι.","Anthemokritos: Isaios in Against Kalydon refers to “the bath that is near Anthemokritos’ statue,” that is to say near the Thriasian Gate. This man was a herald of the Athenians, but he was slain by the Megarians for forbidding them from working the sacred land of the two goddesses.",""
urn:cite:dc3:harpocration.193.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀνθεμοῦς,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"<place pleiades=""491521"">Ἀνθεμοῦς</place>: πόλις Μακεδονικὴ, καὶ οἱ ἀπ' αὐτῆς Ἀνθεμούντιοι.","Anthemous: a Macedonian city, and those from it (are) Anthemountians.",""
urn:cite:dc3:harpocration.194.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀνθήνη,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀνθήνη: <person TLG=""0540"">Λυσίας</person> ἐν τῇ πρὸς τὴν Ἀριστοδήμου γραφὴν, εἰ γνήσιος. πόλις τῆς Λακωνικῆς.","<place pleiades=""570085"">Anthene</place>: Lysias in his prosecution of Aristodemos, if genuine. A city in <place pleiades=""570406"">Lakonia</place>.",""
urn:cite:dc3:harpocration.195.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀνθυπώμοσαν,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀνθυπώμοσαν: ἀντὶ τοῦ ὑπεῖπον τῇ ὑπωμοσίᾳ <person TLG=""0014"">Δημοσθένης</person> <work TLG=""0014.048"">κατ' Ὀλυμπιοδώρου</work><ref TLG=""0014.048.25""/>.",Anthypomosan (they made a counter-affidavit): for 'they added in response to the sworn affidavit:' Demosthenes in Against Olympiodoros.,""
urn:cite:dc3:harpocration.196.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀνίδρυτος,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀνίδρυτος: ἀντὶ τοῦ ἀνεξίλαστος <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.025"">κατ' Ἀριστογείτονος</work><ref TLG=""0014.025.52""/>.",Anidrytos (unsettled): for 'implacable:' Demosthenes in Against Aristogeiton.,""
urn:cite:dc3:harpocration.197.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἄνοικος,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἄνοικος: ἀντὶ τοῦ ἀοίκητος <person TLG=""0034"">Λυκοῦργος</person> κατὰ Λυκόφρονος.","Anoikos (homeless): for 'aoiketos' (homeless); Lykourgos, Against Lykophron.",""
urn:cite:dc3:harpocration.198.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντεπιτίθησιν,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀντεπιτίθησιν: ἀντὶ τοῦ ἀντεπιστέλλει <person TLG=""0017"">Ἰσαῖος</person> ἐν τῷ πρὸς Καλλιππίδην.",Antepitithesin (gives in return): for 'writes in response'; Isaios in Against Kallippides.,""
urn:cite:dc3:harpocration.199.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντιάταις,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀντιάταις: τοῖς ἀπὸ <place pleiades =""422837"">Ἀντίου</place> πόλεως, ἥτις ἀπέχει <place pleiades=""423025"">Ῥώμης</place> τ σταδίους.","Antiatais: to those from the city of Antion, which is three hundred stades from Rome.",""
urn:cite:dc3:harpocration.200.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντιβληθέντος,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀντιβληθέντος: ἀντὶ τοῦ ὑπαγορευθέντος <person TLG=""0029"">Δείναρχος</person> ἐν τῇ <work TLG=""0029.000"">κατὰ Πυθέου</work> εἰσαγγελίᾳ.",Antiblethentos (having been cast in turn/compared/matched/exchanged): for 'having been answered:' Deinarchos in the impeachment Against Pytheas.,""
urn:cite:dc3:harpocration.201.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντιγενίδας,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀντιγενίδας: <person TLG=""0540"">Λυσίας</person> ἐν τῷ πρὸς Νίκαρχον τὸν αὐλητὴν, εἰ γνήσιος, υἱὸς οὗτος ἦν Διονυσίου, ἐνδοξότατος αὐλητής.","Antigenidas: Lysias in Against Nikarchos the flute-player, if it is genuine; this man was a son of Dionysios, a famous flute-player.",""
urn:cite:dc3:harpocration.202.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντιγραφεύς,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀντιγραφεύς: ὁ καθιστάμενος ἐπὶ τῶν καταβαλλόντων τινὰ τῇ πόλει χρήματα, ὥστε ἀντιγράφεσθαι ταῦτα· <person TLG=""0014"">Δημοσθένης</person> ἐν <work TLG=""0014.022"">τῷ κατ' Ἀνδροτίωνος</work> καὶ <person TLG=""0026"">Αἰσχίνης</person> ἐν τῷ <work TLG=""0026.003"">κατὰ Κτησιφῶντος</work>. διττοὶ δὲ ἦσαν ἀντιγραφεῖς, ὁ μὲν τῆς διοικήσεως, ὥς φησι <person TLG=""0583"">Φιλόχορος</person>, ὁ δὲ τῆς βουλῆς, ὡς <person TLG=""0086"">Ἀριστοτέλης</person> ἐν <work TLG=""0086.003"">Ἀθηναίων πολιτείᾳ</work>.","Antigrapheus: the one who is appointed in charge of those paying certain funds to the state, so that these are copied (or checked?): Demosthenes in Against Androtion and Aischines in Against Ktesiphon. There was a pair of copiests (checkers?), one for the financial administration as Philochoros says, and the other for the boule as Aristotle (says) in the Constitution of the Athenians.",""
urn:cite:dc3:harpocration.203.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντιγραφή,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀντιγραφή: ἰδίως μὲν ἐπὶ ταῖς τῶν κλήρων διαδικασίαις ἀντιγραφὴ καλεῖται, ὅταν τις ὡς ἄπαιδος ὄντος τοῦ τετελευτηκότος ἑαυτῷ φάσκῃ προσήκειν τὸν κλῆρον κατὰ γένος ἢ δόσιν. κοινῶς δ' ἐν ταῖς δίκαις ταῖς δημοσίαις καὶ ταῖς ἰδίαις τὰ τῶν δικαζομένων γράμματα, ἃ ἐδίδοσαν περὶ τοῦ πράγματος, καὶ τὰ τοῦ διώκοντος καὶ τὰ τοῦ φεύγοντος, ἀντιγραφὴ, καὶ τὰ μαρτύρια· <person TLG=""0014"">Δημοσθένης</person> <work TLG=""0014.045"">κατὰ Στεφάνου</work><ref TLG=""0014.045.46""/> καὶ <person TLG=""0030"">Ὑπερείδης</person><ref TLG=""0030.003.4"">. <person TLG=""0059"">Πλάτων</person> δὲ ἐν τῇ <work TLG=""0059.002"">Σωκράτους ἀπολογίᾳ</work><ref TLG=""0059.002.27c""/> τὸ αὐτὸ καλεῖ ἀντωμοσίαν καὶ ἀντιγραφήν.","Antigraphe: in a special sense in settlements of inheritances it is called an ‘antigraphe’ whenever one claims, on grounds that the decedent is childless, that the estate belongs to oneself by family relation or gift. But in general, in public suits and private, the litigants’ documents, which they submitted concerning the matter, both those of the prosecutor and those of the defendant, (are called) an antigraphe--and the witness testimonies. Demosthenes, Against Stephanos, and Hypereides. Plato in the Apology of Socrates calls the same thing ‘antomosia’ (affidavit) and ‘antigraphe.’",""
urn:cite:dc3:harpocration.204.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντίθεσις,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀντίθεσις: <person TLG=""0010"">Ἰσοκράτης</person> <work TLG=""0010.021"">Παναθηναϊκῷ</work><ref TLG=""0010.021.2""/>. σχῆμα λέξεώς ἐστιν ἡ ἀντίθεσις, καθ' ἣν ἀντιτιθέασιν ἀλλήλοις τὰ ἐναντία ἤτοι κατὰ μέρος ἢ ἀθρόα. καὶ κατὰ μέρος μὲν, ὡς <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.018"">ὑπὲρ Κτησιφῶντος</work> <q TLG=""0014.018.265"">ἐδίδασκες γράμματα, ἐγὼ δ' ἐφοίτων</q> καὶ τὰ ἑξῆς. ἀθρόως δὲ πάντων πρὸς πάντα, ὡς ὁ αὐτὸς <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.021"">κατὰ Μειδίου</work> ἀπὸ τοῦ <q TLG=""0014.021.73"">ὁ μέν γε ὑπὸ φίλου</q> ἕως τοῦ <q TLG=""0014.021.74"">βαδίζειν χορηγοῦντι.</q> λέγεται δὲ καὶ ἀντίθετον τὸ αὐτὸ σχῆμα, ὡς <person TLG=""0026"">Αἰσχίνης</person> ἐν τῇ <work TLG=""0026.002"">περὶ τῆς πρεσβείας</work> ἀπολογίᾳ<ref TLG=""0026.002.4""/>.","Antithesis: Isokrates in Panathenaikos. Antithesis is a figure of speech in which opposites oppose one another, either by part or on the whole--by part, as Demosthenes (says) in For Ktesiphon: ""You used to teach letters, but I went to school,"" and so forth; on the whole, everything relating to everything, as the same Demosthenes, in Against Meidias, (says) from ""he anyway (was struck) by a friend"" up to ""(it was necessary) to enter because I was choregos."" The same figure is also called ""antitheton"", as Aischines (says) in the defense On the Embassy.",""
urn:cite:dc3:harpocration.205.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντίκυρα,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀντίκυρα: <person TLG=""0540"">Λυσίας</person> ἐν τῷ πρὸς Μέδοντα. μήποτ' ἐπώνυμόν ἐστιν. Ἀντιφάνης ἐν τῷ περὶ ἑταιρῶν φησὶν <q TLG=""0540.000.00"">Ἀντίκυραν δ' ἐκάλεσαν ὅτι συνέπινε παρακινοῦσι καὶ μεμηνόσιν. οἱ δὲ ὅτι ἰατρὸς αὐτῇ Νικόστρατος κατέλιπεν ἀποθνήσκων πολὺν ἐλλέβορον.</q>","Antikyra: Lysias in Against Medon. Perhaps it is a nickname. Antiphanes in On Prostitutes says, ""They called (her) Antikyra because she used to drink with men who were wild and crazy. Others (say it was) because Nikostratos the doctor left her much hellebore when he died.",""
urn:cite:dc3:harpocration.206.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντιοχίς,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,Ἀντιοχίς: ὄνομα φυλῆς.,Antiochis: name of a tribe,""
urn:cite:dc3:harpocration.207.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντιφῶν,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"<person TLG=""0028"">Ἀντιφῶν</person>: εἷς τῶν ι ῥητόρων, Σωφίλου μὲν υἱὸς, ἀπὸ τοῦ δήμου δὲ Ῥαμνούσιος.","Antiphon: one of the ten orators, son of Sophilos and from the deme Rhamnous.",0
urn:cite:dc3:harpocration.208.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντίπατρος,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,Ἀντίπατρος: Ἰολάου παῖς.,Antipater: son of Iolaos.,""
urn:cite:dc3:harpocration.209.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἄντισσα,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"<place pleiades=""550435"">Ἄντισσα</place>: <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.023"">κατ' Ἀριστοκράτους</work><ref TLG=""0014.023.132""/>. μία πόλις τῶν ἐν <place pleiades=""550696"">Λέσβῳ</place>.",Antissa: Demosthenes in Against Aristokrates. One city of those on Lesbos.,""
urn:cite:dc3:harpocration.210.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντρῶνες,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"<place pleiades=""540644"">Ἀντρῶνες</place>: πόλις ἐν <place pleiades=""1332"">Θετταλίᾳ</place>· <person TLG=""0014"">Δημοσθένης</person> <work TLG=""0014.010"">Φιλιππικῷ</work><ref TLG=""0014.010.9""/>.",Antrones: a city in Thessaly: Demosthenes in a Philippic.,""
urn:cite:dc3:harpocration.211.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀντωμοσία,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀντωμοσία: γράμματά τινα γράψαντες ἀποφέρουσι πρὸς τὴν ἀρχὴν οἵ τε κατηγοροῦντες καὶ οἱ κατηγορούμενοι, περὶ ὧν ἂν ἡ δίκη. καλεῖται δὲ οὕτως, ἐπειδὴ ἀντώμνυον οἱ διώκοντες καὶ οἱ φεύγοντες, οἱ μὲν ἀληθῆ κατηγορήσειν, οἱ δὲ ἀληθῆ ἀπολογήσεσθαι.","Antomosia (affidavit): after writing certain documents, concerning whatever the suit is for, both accusers and accused bring them before the magistrate. So it is called when the prosecutors and defendants used to swear, the former that they would accuse truthfully and the latter that they would defend themselves truthfully.",""
urn:cite:dc3:harpocration.212.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀνωρθίαζον,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀνωρθίαζον: <person TLG=""0027"">Ἀνδοκίδης</person><ref TLG=""0027.001.29"">. ἀντὶ τοῦ ὄρθιον βοῶντες ἔλεγον. <person TLG=""0012"">Ὅμηρος</person> 

<qverse TLG=""0012.001.11.10"">ἔνθα στᾶσ' ἤϋσε θεὰ μέγα τε δεινόν τε</qverse> 
<qverse TLG=""0012.001.11.11>ὄρθι' Ἀχαιοῖσιν, μέγα δὲ σθένος ἔμβαλ' ἑκάστῳ</qverse> 
<qverse TLG=""0012.001.11.12>καρδίῃ, ἄλληκτον πολεμίζειν ἠδὲ μάχεσθαι.</qverse>","Anorthiazon (they were shouting aloud): Andokides. For 'they were speaking, shouting shrilly.' Homer:

""Standing there, the goddess issued a great and terrible cry, shrilly, to the Achaeans, and into each man's heart she put great strength to wage war and to battle unceasingly.""",""
urn:cite:dc3:harpocration.213.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀξιοῖ,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀξιοῖ: ἀντὶ τοῦ νομίζει <person TLG=""0028"">Ἀντιφῶν</person> ὑπὲρ τῆς εἰς τὸν ἐλεύθερον παῖδα ὕβρεως καὶ <person TLG=""0540"">Λυσίας</person>.","Axioi (he thinks fit): for 'he thinks:' Antiphon, On Hybris against a Free Boy, and Lysias.",""
urn:cite:dc3:harpocration.214.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀξίοχος,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,Ἀξίοχος: Αἰσχίνῃ τῷ Σωκρατικῷ διάλογος ἐγράφη Ἀξίοχος καλούμενος.,Axiochos: a dialogue called Axiochos was written by Aischines the Socratic.,""
urn:cite:dc3:harpocration.215.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἄξονι,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἄξονι: οἱ Σόλωνος νόμοι ἐν ξυλίνοις ἦσαν ἄξοσι γεγραμμένοι· <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.023"">κατ’ Ἀριστοκράτους</work> <q TLG=""0014.023.32"">ὡς ἐν τῷ ἄξονι εἴρηται.</q> ἦσαν δὲ, ὥς φησι Πολέμων ἐν τοῖς πρὸς Ἐρατοσθένην, τετράγωνοι τὸ σχῆμα, διασώζονται δὲ ἐν τῷ πρυτανείῳ, γεγραμμένοι κατὰ πάντα τὰ μέρη. ποιοῦσι δ' ἐνίοτε φαντασίαν τρίγωνον, ὅταν ἐπὶ τὸ στενὸν κλιθῶσι τῆς γωνίας.","Axoni (on the axle): the laws of Solon were written on wooden (tablets rotating on) axles. Demosthenes in Against Aristokrates: “as has been said on the axle.” They were, as Polemon says in Against Eratosthenes, four-sided in shape and they are kept in the prytaneion, written on all their parts. Sometimes they create a three-sided appearance, whenever they incline to the narrow point of the angle.",""
urn:cite:dc3:harpocration.216.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἄοπτα,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἄοπτα: ἀντὶ τοῦ ἀόρατα καὶ οὐκ ὀφθέντα, ἀλλὰ δόξαντα ὁρᾶσθαι <person TLG=""0028"">Ἀντιφῶν</person> Ἀληθείας α.","Aopta: for 'unseen' and 'not seen, but having seemed to be seen': Antiphon, On Truth book 1.",""
urn:cite:dc3:harpocration.217.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀπαγορεύειν,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀπαγορεύειν: ἀντὶ τοῦ κάμνειν καὶ ἀδυνάτως ἔχειν <person TLG=""0540"">Λυσίας</person> <work TLG=""0540.071"">ἐρωτικῷ</work>.","Apagoreuein (to bid farewell to, give up doing): for ‘to be distressed’ or ‘to be unable’: Lysias in Erotikos.",""
urn:cite:dc3:harpocration.218.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀπαθῆ,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀπαθῆ: ἀντὶ τοῦ τὰ μὴ ὡς ἀληθῶς γεγονότα πάθη <person TLG=""0028"">Ἀντιφῶν</person> Ἀληθείας α.","Apathe (without suffering, feeling, sense, emotion): for 'those experiences that did not truly happen': Antiphon, On Truth book 1.",""
urn:cite:dc3:harpocration.219.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀπαριθμῶν,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀπαριθμῶν: ἀντὶ τοῦ ἀποπληρῶν ἀριθμὸν <person TLG=""0010"">Ἰσοκράτης</person> Φιλίππῳ.","Aparithmon (reckoning up): for 'tallying a sum:' Isokrates, in Philip.",""
urn:cite:dc3:harpocration.220.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀπαρτιλογία,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀπαρτιλογία: <person TLG=""0540"">Λυσίας</person> ἐν τῷ πρὸς Ἀρέσανδρον καὶ <person TLG=""0016"">Ἡρόδοτος</person><ref TLG=""0016.001.7.29""/> ἀντὶ τοῦ ἀπηρτισμένος καὶ πλήρης ἀριθμός.",Apartilogia (even number): Lysias in Against Aresandros and Herodotos for a number that is complete and full.,""
urn:cite:dc3:harpocration.221.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀπατούρια,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀπατούρια: <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <wortk TLG=""0014.039"">πρὸς Βοιωτόν</work><ref TLG=""0014.039.4""/>. ἑορτή ἐστι παρ' Ἀθηναίοις, ἣν ἄγουσι Πυανεψιῶνι ἐφ' ἡμέρας δ, ὥς φασιν οἱ τὰ περὶ ἑορτῶν γράψαντες. πόθεν δ' ἐκλήθη ἄλλοι τε πολλοὶ εἰρήκασι καὶ <person TLG=""0536"">Ἔφορος</person> ἐν β, ὡς διὰ τὴν ὑπὲρ τῶν ὁρίων ἀπάτην γενομένην, ὅτι Ἀθηναίων πολεμούντων πρὸς Βοιωτοὺς ὑπὲρ τῆς Μελανίας χώρας Μέλανθος ὁ τῶν Ἀθηναίων βασιλεὺς Ξάνθον τὸν Θηβαίων μονομαχῶν ἀπατήσας ἀπέκτεινεν.","Apatouria: Demosthenes in Against Boiotos. It is a festival among Athenians, which they celebrate in Pyanepsion over four days, as say those who have written on festivals. Many have told whence it got its name, including Ephoros in book two: namely on account of the treachery (apate) concerning the boundaries (horia), because when Athenians were waging war against Boiotians over the region called Melania, Melanthos, the king of the Athenians, slew Xanthos, the king of the Thebans, fighting in single combat, having deceived him.",""
urn:cite:dc3:harpocration.222.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀπειπεῖν,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀπειπεῖν: ἀντὶ τοῦ ἀποκαμεῖν καὶ ἀδυνατῆσαι <person TLG=""0028"">Ἀντιφῶν</person> ἐν τῷ περὶ τοῦ Λινδίων φόρου. καὶ ἀντὶ τοῦ ἀπαρνήσασθαι παρὰ τῷ αὐτῷ.",Apeipein (to decline): for 'to tire' and 'be unable:' Antiphon in On the Lindians' Tribute. Also for 'to reject' in the same author.,""
urn:cite:dc3:harpocration.223.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀπεργασάμενος,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀπεργασάμενος: ἀντὶ τοῦ ἀποδοὺς ἐκ τῶν ἔργων ὧν εἰργάσατο <person TLG=""0017"">Ἰσαῖος</person> ἐν τῷ πρὸς Ἀπολλόδωρον.",Apergasamenos (having completed): for 'having repaid from the work that one did:' Isaios in Against Apollodoros.,""
urn:cite:dc3:harpocration.224.1,urn:cts:greekLit:tlg1389.tlg001.dc3:ἀπεσχοινισμένος,"Joshua D. Sosin <joshuad.sosin@gmail.com>,John-Paul Smith-MacDonald <jpr.macdonald@googlemail.com>,Mackenzie Zalin <mackzalin@gmail.com>",2015-06-01T14:35:15.795Z,"Ἀπεσχοινισμένος: <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.025"">κατ' Ἀριστογείτονος α</work> ἀντὶ τοῦ ἀποκεκλεισμένος· ὅταν γὰρ ἡ βουλὴ περισχοινίσηται, ὡς αὐτός φησι, τότε οἱ ἄλλοι πάντες εἰσὶν ἀπεσχοινισμένοι.","Apeschoinismenos (having been roped off): Demosthenes in Against Aristogeiton 1 for 'having been closed off.' For whenever the council roped itself around, as he says, then everyone else was ‘roped off.’",""
